round,mode,dropout_rate,clients_per_round,global_accuracy,per_class_accuracy,num_participated,num_available,comm_cost,participating_cids
27,model_dropout,0.75,8,0.9111,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1318,"[0, 1, 2, 3, 4, 5, 6, 7]"
28,model_dropout,0.75,8,0.9167,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9705882352941176, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,1317,"[0, 1, 2, 3, 4, 5, 6, 7]"
29,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1318,"[0, 1, 2, 3, 4, 5, 6, 7]"
30,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 1.0, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,1281,"[0, 1, 2, 3, 4, 5, 6, 7]"
31,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9393939393939394, ""3"": 0.9117647058823529, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1257,"[0, 1, 2, 3, 4, 5, 6, 7]"
32,model_dropout,0.75,8,0.9111,"{""0"": 1.0, ""1"": 0.8214285714285714, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1289,"[0, 1, 2, 3, 4, 5, 6, 7]"
33,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1323,"[0, 1, 2, 3, 4, 5, 6, 7]"
34,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1368,"[0, 1, 2, 3, 4, 5, 6, 7]"
35,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1341,"[0, 1, 2, 3, 4, 5, 6, 7]"
36,model_dropout,0.75,8,0.9167,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1259,"[0, 1, 2, 3, 4, 5, 6, 7]"
37,model_dropout,0.75,8,0.9194,"{""0"": 1.0, ""1"": 0.8928571428571429, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1246,"[0, 1, 2, 3, 4, 5, 6, 7]"
38,model_dropout,0.75,8,0.9139,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8, ""9"": 0.85}",8,8,1272,"[0, 1, 2, 3, 4, 5, 6, 7]"
39,model_dropout,0.75,8,0.9111,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 0.9782608695652174, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.7666666666666667, ""9"": 0.85}",8,8,1247,"[0, 1, 2, 3, 4, 5, 6, 7]"
40,model_dropout,0.75,8,0.9194,"{""0"": 1.0, ""1"": 0.8571428571428571, ""2"": 0.9090909090909091, ""3"": 0.9411764705882353, ""4"": 1.0, ""5"": 0.851063829787234, ""6"": 0.9714285714285714, ""7"": 0.9705882352941176, ""8"": 0.8333333333333334, ""9"": 0.85}",8,8,1341,"[0, 1, 2, 3, 4, 5, 6, 7]"
